QuestionID,Question,Answer,Document
Q1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,question_answering,African immigration to the United States
Q2,how are glacier caves formed?,question_answering,Glacier cave
Q3,how a water pump works,question_answering,Pump
Q4,"how big is bmc software in houston, tx",question_answering,BMC Software
Q5,"how big is bmc software in houston, tx",question_answering,BMC Software
Q6,how much is 1 tablespoon of water,question_answering,Tablespoon
Q7,how much is 1 tablespoon of water,question_answering,Tablespoon
Q8,how much is 1 tablespoon of water,question_answering,Tablespoon
Q9,how much are the harry potter movies worth,question_answering,Harry Potter
Q10,how a rocket engine works,question_answering,Rocket engine
Q11,how old was sue lyon when she made lolita,question_answering,Lolita (1962 film)
Q12,how are cholera and typhus transmitted and prevented,question_answering,Cholera
Q13,how did anne frank die,question_answering,Anne Frank
Q14,how are aircraft radial engines built,question_answering,Radial engine
Q15,how deep can be drill for deep underwater,question_answering,Deepwater drilling
Q16,how old was monica lewinsky during the affair,question_answering,Monica Lewinsky
Q17,how long was frank sinatra famous,question_answering,Frank Sinatra
Q18,how are antibodies used in,question_answering,antibody
Q19,how are antibodies used in,question_answering,antibody
Q20,how are antibodies used in,question_answering,antibody
Q21,how are antibodies used in,question_answering,antibody
Q22,how much is jk rowling worth,question_answering,J. K. Rowling
Q23,how big is auburndale florida,question_answering,"Auburndale, Florida"
Q24,"how old is kirk douglas, the actor?",question_answering,Kirk Douglas
Q25,how old is the singer bob seger,question_answering,Bob Seger
Q26,how long was i love lucy on the air,question_answering,I Love Lucy
Q27,how long was richard nixon a president,question_answering,Richard Nixon
Q28,HOW MUCH IS CENTAVOS IN MEXICO,question_answering,Mexican peso
Q29,How long was Mickie James with WWE?,question_answering,Mickie James
Q30,how did armando christian perez become famous,question_answering,Pitbull (entertainer)
Q31,how old were the twin towers when destroyed,question_answering,World Trade Center
Q32,how are the # of electrons in each shell determined,question_answering,Electron shell
Q33,how many presidents of the us,question_answering,List of Presidents of the United States
Q34,how old is beatrice author,question_answering,Bea Arthur
Q35,how are public schools funded,question_answering,state school
Q36,how are public schools funded,question_answering,state school
Q37,what happens  to the light independent reactions of photosynthesis?,question_answering,Light-independent reactions
Q38,what happens  to the light independent reactions of photosynthesis?,question_answering,Light-independent reactions
Q39,how does interlibrary loan work,question_answering,Interlibrary loan
